"","MY","month","fleet","sex","part","ageerr","Lbin_lo","Lbin_hi","N_adj_year","0","1","2","3","4","5","6","7","8"
"1",1981,10,2,0,0,1,-1,-1,8.16,0.137870505291206,0.507705106950074,0.244657629204186,0.0790931428061976,0.0306736157483368,0,0,0,0
"2",1982,10,2,0,0,1,-1,-1,22.64,0,0.461900624570798,0.469309210297796,0.0627784364951448,0.00601172863626131,0,0,0,0
"3",1983,10,2,0,0,1,-1,-1,3.84,0,0.331755882928007,0.61181227365591,0.0564318434160836,0,0,0,0,0
"4",1984,10,2,0,0,1,-1,-1,8.56,0.00813553704862065,0.291589439112496,0.605295359471164,0.0949796643677192,0,0,0,0,0
"5",1985,10,2,0,0,1,-1,-1,31.16,0.00326645535060856,0.252384146313056,0.650635814588693,0.0916661599904949,0.0020474237571479,0,0,0,0
"6",1986,10,2,0,0,1,-1,-1,41.2,0.0073714946986061,0.0940072793980677,0.631656738810506,0.246980968026805,0.0193757182372175,0.000607800828797547,0,0,0
"7",1987,10,2,0,0,1,-1,-1,85.08,0.00152054997676623,0.460329719327061,0.375198158318979,0.134371433192454,0.0260265672827619,0.00228269318291649,0.000270878719060995,0,0
"8",1988,10,2,0,0,1,-1,-1,42.88,0.0227116899483834,0.300891734907489,0.525168773020087,0.11354087882962,0.0346421668588187,0.00203675695885432,0.0010079994767483,0,0
"9",1989,10,2,0,0,1,-1,-1,43.56,0.0100545164999973,0.584198738605018,0.338983773333015,0.0646246408297811,0.00213833073218835,0,0,0,0
"10",1990,10,2,0,0,1,-1,-1,78.2,0.0355995942888774,0.187892474570358,0.345357716289104,0.242442479251858,0.120292439479487,0.0321795379030453,0.0267966828741592,0.00776062398189693,0.00167845136121312
"11",1991,10,2,0,0,1,-1,-1,27.96,0.0819112481867987,0.266433577252316,0.303472147597284,0.181840826518566,0.0826895452576627,0.0547468836881006,0.0124555063399648,0.00940846165321056,0.0070418035060966
"12",1992,10,2,0,0,1,-1,-1,59.76,0.188747898133785,0.626742791561083,0.130346760309743,0.0375322568223823,0.0126368085013738,0.00256070169317509,0.00143278297845732,0,0
"13",1993,10,2,0,0,1,-1,-1,30.44,0.243015867652801,0.37360924912318,0.284706231920674,0.0615984002334106,0.0222755789408974,0.0106796721605561,0.00411499996848076,0,0
"14",1994,10,2,0,0,1,-1,-1,120.96,0.422258187161456,0.433617751120657,0.0940523891118374,0.0424291696998176,0.00610460266313341,0.00120047442569666,0.000337425817401991,0,0
"15",1995,10,2,0,0,1,-1,-1,58.84,0.24456709875105,0.481773111170708,0.250156466527936,0.0211531565763259,0.00192794057723444,0.000422226396745394,0,0,0
"16",1996,10,2,0,0,1,-1,-1,45.92,0.365330810350644,0.345799198507574,0.236047931338633,0.0450692166361326,0.00322157772298273,0.00453126544403362,0,0,0
"17",1997,10,2,0,0,1,-1,-1,47.44,0.166458297630565,0.429086760927603,0.166555059268229,0.154920782438774,0.0715724371619099,0.00815374036561421,0.00325292220730424,0,0
"18",1998,10,2,0,0,1,-1,-1,72.48,0.279502549232558,0.46884759510749,0.216525143746045,0.0233523462793599,0.00884610163970004,0.00292626399484705,0,0,0
"19",1999,10,2,0,0,1,-1,-1,55.32,0.285891451717562,0.515237766266583,0.173873432349993,0.0173041119156391,0.00652792426311916,0.000824801200261593,0.000340512286841832,0,0
"20",2000,10,2,0,0,1,-1,-1,48.04,0.282710841257384,0.362998055934881,0.284683983627075,0.0582532724306883,0.010436838834171,0,0,0.000917007915800392,0
"21",2001,10,2,0,0,1,-1,-1,71.08,0.718585487282721,0.162949394457682,0.0800658498692114,0.0306870060884494,0.00585888249692778,0.00185337980500858,0,0,0
"22",2002,10,2,0,0,1,-1,-1,76.48,0.160964614801954,0.576701007751317,0.194023477292896,0.0504463685546728,0.0122114670221192,0.00479794991399077,0.000427557331525516,0,0.000427557331525516
"23",2003,10,2,0,0,1,-1,-1,74.64,0.845477207794274,0.0339389758086876,0.0641536001635531,0.0298628370926829,0.0165262480877214,0.00456435530603083,0.0043814205976399,0.00109535514940998,0
"24",2004,10,2,0,0,1,-1,-1,59.16,0.0430225705247024,0.869743804558084,0.0724858079194536,0.0124660544475328,0.00136021812146267,0.000921544428764835,0,0,0
"25",2005,10,2,0,0,1,-1,-1,89.04,0.524126330753936,0.348819060129165,0.116323954959947,0.00592927846859098,0.001559209011235,0.00116221345867135,0.000917739759783156,0.000581106729335675,0.000581106729335675
"26",2006,10,2,0,0,1,-1,-1,105.16,0.162126241754357,0.641856201891653,0.174771406355519,0.0204909222487865,0.000755227749684402,0,0,0,0
"27",2007,10,2,0,0,1,-1,-1,67.52,0.422178752935404,0.418220949281618,0.116008816248523,0.037188159398482,0.00566434759929361,0.000738974536679851,0,0,0
"28",2008,10,2,0,0,1,-1,-1,39.76,0.187574963133198,0.547992818722641,0.209549935387207,0.0521751255005503,0.0027071572564041,0,0,0,0
"29",2009,10,2,0,0,1,-1,-1,98.08,0.506321010348042,0.382339241930517,0.105306611792069,0.00440839725179855,0.0016247386775736,0,0,0,0
"30",2010,10,2,0,0,1,-1,-1,31.4,0.42584452858041,0.245818375341824,0.0232726429069024,0.0518033391839843,0.105411382578322,0.130053004479749,0.0150587689397604,0.00136897899452367,0.00136897899452367
"31",2011,10,2,0,0,1,-1,-1,54.88,0.179075714781085,0.348700868038579,0.243588178445433,0.0925146844863329,0.0500397985863835,0.0374031418507262,0.0339952341232237,0.0123932512331563,0.00228912845508062
"32",2012,10,2,0,0,1,-1,-1,8.92,0.0119494882796507,0.176551865299577,0.558777913499727,0.21358798283745,0.0345032353913607,0.00308634312815605,0.00154317156407802,0,0
"33",2013,10,2,0,0,1,-1,-1,26.4,0.00862591762204436,0.0582602306956679,0.224121356769364,0.465501498020447,0.169078625716005,0.0531575067861081,0.00566197723428584,0.0125833900814726,0.00300949707460477
"34",2014,10,2,0,0,1,-1,-1,13.88,0.318139902749069,0.517188077794464,0.12788266358177,0.0022132689007211,0.00927404269504679,0.0233731587030851,0.00192888557584399,0,0
